Price,Open,High,Low,Vol.,Change %
69.23,69.49,70.42,69.21,130.02M,-2.08%
70.7,71.17,71.74,69.21,215.25M,-1.36%
71.67,71.85,72.05,70.59,157.12M,0.79%
71.11,70.6,71.58,70.16,131.16M,-0.91%
71.76,70,72.06,69.51,195.00M,5.05%
68.31,67.08,68.43,66.46,131.02M,1.96%
67,67.18,67.52,66.18,162.12M,0.72%
66.52,65.68,66.84,65.31,168.90M,2.56%
64.86,67.7,67.93,64.75,202.89M,-1.16%
65.62,62.72,65.78,62.35,201.82M,8.72%
60.35,60.7,61.42,59.74,129.88M,-1.44%
61.23,60.08,61.29,59.22,165.93M,1.67%
60.23,61.63,62.18,59.78,176.22M,-5.26%
63.57,63.9,65.62,63,197.00M,-0.20%
63.7,62.69,63.88,62.35,167.98M,2.85%
61.94,63.19,63.97,61.76,204.22M,-4.14%
64.61,61.63,64.67,61.59,252.56M,5.26%
61.38,62.69,64.56,61.08,303.60M,-0.55%
61.72,59.09,61.92,58.58,287.53M,10.03%
56.09,57.02,57.12,53.15,336.75M,-2.12%
57.31,61.79,62.96,57,401.69M,-6.35%
61.19,61.85,63.21,60.65,271.86M,-0.77%
61.67,59.94,62.5,59.28,300.23M,-2.45%
63.22,61.88,64.4,59.6,324.06M,4.40%
60.55,60.49,64.77,60,322.42M,-12.86%
69.49,66.22,69.98,63.24,370.73M,11.98%
62.06,63.99,67.5,62,418.47M,-9.88%
68.86,69.35,70.31,67.96,256.38M,-3.47%
71.33,69.29,71.61,67.34,285.29M,7.20%
66.54,65.94,69.52,65.75,286.74M,-7.91%
72.26,70.5,72.71,70.31,226.18M,-1.33%
73.23,73.88,74.89,72.85,187.57M,-3.24%
75.68,74.11,75.85,73.28,219.18M,4.64%
72.33,75.92,76,71.45,319.48M,-3.18%
74.7,70.57,75.36,69.43,341.40M,9.31%
68.34,64.32,69.6,64.09,426.88M,-0.06%
68.38,70.28,71.5,68.24,320.61M,-6.54%
73.16,71.63,74.47,71.63,198.71M,1.59%
72.02,75.24,75.63,71.53,230.67M,-3.39%
74.54,74.32,76.04,72.31,222.20M,-4.75%
78.26,79.65,80.11,77.63,129.71M,-2.26%
80.07,80.66,81.16,79.55,100.57M,-1.03%
80.9,80,81.14,80,93.98M,1.45%
79.75,78.84,79.94,78.65,152.76M,-1.83%
81.24,81.18,81.5,80.71,80.11M,0.02%
81.22,81.05,81.56,80.84,94.75M,-0.71%
81.8,80.37,81.81,80.37,113.73M,2.37%
79.9,80.9,80.97,79.68,94.32M,-0.60%
80.39,78.54,80.39,78.46,109.35M,0.47%
80.01,80.59,80.85,79.5,117.68M,-1.59%
81.3,80.64,81.31,80.07,105.43M,1.17%
80.36,80.88,81.19,79.74,118.83M,0.82%
79.71,78.83,79.91,78.41,136.62M,3.30%
77.17,76.07,78.37,75.56,173.99M,-0.27%
77.38,80.23,80.67,77.07,199.59M,-4.43%
80.97,80.14,81.02,79.69,126.74M,-0.14%
81.08,81.11,81.96,80.35,216.60M,2.09%
79.42,78.15,79.6,78.05,162.23M,2.83%
77.24,77.51,77.94,76.22,161.94M,-2.94%
79.58,80.06,80.83,79.38,146.54M,-0.29%
79.81,79.48,79.89,78.91,104.47M,0.48%
79.43,79.64,80,79.33,101.83M,0.36%
79.14,79.3,79.75,79,110.84M,-0.68%
